0,new3,new5,new7
4,0,0,0
5,0,0,1
6,0,0,2
7,0,0,3
8,0,0,4
9,0,0,5
10,0,0,6
11,0,0,7
12,0,0,8
13,0,0,9
14,0,0,10
15,0,0,11
16,0,0,12
17,0,0,13
18,0,0,14
19,0,0,15
20,0,0,16
21,0,0,17
22,0,0,18
24,0,1,0
25,0,1,1
26,0,1,2
27,0,1,3
28,0,1,4
29,0,1,5
30,0,1,6
31,0,1,7
32,0,1,8
33,0,1,9
34,0,1,10
35,0,1,11
36,0,1,12
37,0,1,13
38,0,1,14
40,0,2,0
41,0,2,1
42,0,2,2
43,0,2,3
44,0,2,4
45,0,2,5
46,0,2,6
47,0,2,7
48,0,2,8
50,0,3,0
51,0,3,1
52,0,3,2
53,0,3,3
54,0,3,4
55,0,3,5
56,0,3,6
57,0,3,7
58,0,3,8
59,0,3,9
60,0,3,10
61,0,3,11
63,0,4,0
64,0,4,1
65,0,4,2
66,0,4,3
67,0,4,4
69,0,5,0
70,0,5,1
71,0,5,2
72,0,5,3
73,0,5,4
74,0,5,5
75,0,5,6
77,0,6,0
78,0,6,1
79,0,6,2
80,0,6,3
81,0,6,4
82,0,6,5
83,0,6,6
84,0,6,7
85,0,6,8
86,0,6,9
88,0,7,0
89,0,7,1
90,0,7,2
91,0,7,3
93,0,8,0
94,0,8,1
95,0,8,2
96,0,8,3
97,0,8,4
98,0,8,5
99,0,8,6
100,0,8,7
101,0,8,8
102,0,8,9
103,0,8,10
104,0,8,11
105,0,8,12
106,0,8,13
108,0,9,0
109,0,9,1
110,0,9,2
111,0,9,3
112,0,9,4
114,0,10,0
115,0,10,1
116,0,10,2
118,0,11,0
121,1,0,0
122,1,0,1
123,1,0,2
124,1,0,3
125,1,0,4
126,1,0,5
127,1,0,6
129,1,1,0
130,1,1,1
131,1,1,2
132,1,1,3
134,1,2,0
135,1,2,1
136,1,2,2
137,1,2,3
138,1,2,4
139,1,2,5
140,1,2,6
141,1,2,7
143,1,3,0
146,2,0,0
147,2,0,1
148,2,0,2
149,2,0,3
150,2,0,4
151,2,0,5
152,2,0,6
153,2,0,7
154,2,0,8
155,2,0,9
156,2,0,10
157,2,0,11
158,2,0,12
159,2,0,13
160,2,0,14
161,2,0,15
163,2,1,0
164,2,1,1
165,2,1,2
166,2,1,3
167,2,1,4
168,2,1,5
169,2,1,6
170,2,1,7
171,2,1,8
172,2,1,9
173,2,1,10
174,2,1,11
176,2,2,0
177,2,2,1
179,2,3,0
180,2,3,1
181,2,3,2
183,2,4,0
186,3,0,0
187,3,0,1
188,3,0,2
190,3,1,0
191,3,1,1
192,3,1,2
193,3,1,3
194,3,1,4
195,3,1,5
197,3,2,0
